Nombre del Archivo,Tipo,Fecha,Número de Factura,Emisor,Cliente,CIF,Modelo,Matrícula,Base Imponible,Tipo de IVA,Importe Total
000211156_BRILDOR.pdf,ERROR,BrildorExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
000211537_BRILDOR.pdf,ERROR,BrildorExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
001-ALM-010-50131069-131553-6694223_stellantis.pdf,ERROR,StellantisExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
100972435_136873072_autodoc.pdf,ERROR,AutodocExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
17-NEW SATELITE S.L. abril 2025_amor de dios.pdf,ERROR,HermanasExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
21-NEW SATELITE S.L. mayo 2025_hermanas_amor.pdf,ERROR,HermanasExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
234533_kiauto.pdf,ERROR,KiautoExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
238025_kiauto.pdf,ERROR,KiautoExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
240229_kiauto.pdf,ERROR,KiautoExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
25-NEW SATELITE S.L.junio 2025_amor.pdf,ERROR,HermanasExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
25010 20250402_104143.pdf,ERROR,BaseInvoiceExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
25010 20250402_104143_con reconocimiento.pdf,ERROR,BaseInvoiceExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
805323_pinchete.pdf,ERROR,PincheteExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
811974_pinchete.pdf,ERROR,PincheteExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
817222_pinchete.pdf,ERROR,PincheteExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
821996_pinchete.pdf,ERROR,PincheteExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
828613_pinchete.pdf,ERROR,PincheteExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
A19440_refialias.pdf,ERROR,RefialiasExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
C280__25_0353097_sumauto.pdf,ERROR,SumautoExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
DCAA30D123B209A27E3121CC8AC1E489_LEROY.pdf,ERROR,LeroyExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
desguace el poyo.pdf,ERROR,PoyoExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
F2501759_desguace caravana.pdf,ERROR,LacaravanaExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
Factura 1-001134_MALAGA.pdf,ERROR,MalagaExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
Factura_25D022748-00101717- (1 de 2)_beroil.PDF,ERROR,BeroilExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
FACTURA_AUTOCASHER PILAS_CASCAJO.pdf,ERROR,AutocasherExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
Factura_CESVIrecambios_R2025033798_CESVIMAP.pdf,ERROR,CesvimapExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
FE_M5002270_20250429_combustibles_fiel_marco.PDF,ERROR,FielExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
FRA ABRIL25_pradilla_page_1.pdf,COMPRA,15/04/2025,25010126,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,3902LJS,"88,28",0.21,"106,82 €"
FRA ABRIL25_pradilla_page_2.pdf,COMPRA,15/04/2025,25010127,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,7645LCL,"88,28",0.21,"106,82 €"
FRA ABRIL25_pradilla_page_3.pdf,COMPRA,30/04/2025,25012359,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,9670KTW,"88,28",0.21,"106,82 €"
FRA ABRIL25_pradilla_page_4.pdf,COMPRA,30/04/2025,25012361,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,6150KYY,"88,28",0.21,"106,82 €"
FRA MARZO 25 NEW SATELITE_pradilla_page_1.pdf,COMPRA,31/03/2025,25008906,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,8079GTG,"19,72",0.21,"23,86 €"
FRA MARZO 25 NEW SATELITE_pradilla_page_2.pdf,COMPRA,31/03/2025,25008907,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,8079GTG,"86,88",0.21,"105,13 €"
FRA MARZO 25 NEW SATELITE_pradilla_page_3.pdf,COMPRA,31/03/2025,25008922,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,7642LCL,"89,69",0.21,"108,52 €"
FRA MARZO 25 NEW SATELITE_pradilla_page_4.pdf,COMPRA,31/03/2025,25008924,"GESTORIA PRADILLA, S.L.","NEW SATELITE, S.L.",B-80481369,No encontrado,9978KWK,"88,28",0.21,"106,82 €"
FRA502-2025-25_boxes.pdf,ERROR,BoxesExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
FRA503-2025-25_boxes.pdf,ERROR,BoxesExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
FRA656-2025-25_boxes.pdf,ERROR,BoxesExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
FRA763-2025-25_boxes.pdf,ERROR,BoxesExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
FRA765-2025-25_boxes.pdf,ERROR,BoxesExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
FRA838-2025-25_boxes.pdf,ERROR,BoxesExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
FRA839-2025-25_boxes.pdf,ERROR,BoxesExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
Fra_FCR202500000011900_hergar.pdf,ERROR,HergarExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
Fra_FCR202500000013507_hergar.pdf,ERROR,HergarExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
Fra_FCR202500000015810_hergar.pdf,ERROR,HergarExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
FT225_1024_musas.pdf,ERROR,MusasExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
FT225_1084_musas.pdf,ERROR,MusasExtractor.__init__() got an unexpected keyword argument 'debug_mode',,,,,,,,,
