Archivo,Tipo,Fecha,Número de Factura,Emisor,Cliente,CIF,Modelo,Matricula,Base,IVA,Importe,Tasas
000211156_BRILDOR.pdf,COMPRA,22/05/2025,000211156,Brildor SL,"NEW SATELITE, S.L.",B03308681,No encontrado,Cantidad,"30,30",0.21,"36,66 €",No encontrado
000211537_BRILDOR.pdf,COMPRA,26/05/2025,000211537,Brildor SL,"NEW SATELITE, S.L.",B03308681,No encontrado,Cantidad,"32,51",0.21,"39,34 €",No encontrado
001-ALM-010-50131069-131553-6694223_stellantis.pdf,COMPRA,31/03/2025,50131069,"Placas de Piezas y Componentes de Recambio, S. A. U","NEW SATELITE, S.L.",A87527800,No encontrado,Placas,"103,20",0.21,"124,87 €",No encontrado
100972435_136873072_autodoc.pdf,COMPRA,26.04.2025,100972435,AUTODOC SE,"NEW SATELITE, S.L.",N0040262H,No encontrado,Factura,"36,34",0.21,"43,97 €",No encontrado
17-NEW SATELITE S.L. abril 2025_amor de dios.pdf,COMPRA,05/04/2025,FG-17/2025,Hermanas del Amor de Dios Casa General,"NEW SATELITE, S.L.",R4900012H,No encontrado,8022 Mad,"700,00",0.21,"847,00 €",No encontrado
21-NEW SATELITE S.L. mayo 2025_hermanas_amor.pdf,COMPRA,05/05/2025,FG-21/2025,Hermanas del Amor de Dios Casa General,"NEW SATELITE, S.L.",R4900012H,No encontrado,8022 Mad,"700,00",0.21,"847,00 €",No encontrado
234533_kiauto.pdf,COMPRA,10-04-2025,25.033.287,AUTOLUX RECAMBIOS S.L,"NEW SATELITE, S.L.",B02819530,No encontrado,Referencia,"41,75",0.21,"50,52 €",No encontrado
238025_kiauto.pdf,COMPRA,23-04-2025,25.036.523,AUTOLUX RECAMBIOS S.L,"NEW SATELITE, S.L.",B02819530,No encontrado,Referencia,"31,15",0.21,"37,69 €",No encontrado
240229_kiauto.pdf,COMPRA,30-04-2025,25.038.970,AUTOLUX RECAMBIOS S.L,"NEW SATELITE, S.L.",B02819530,No encontrado,Referencia,"31,15",0.21,"37,69 €",No encontrado
25-NEW SATELITE S.L.junio 2025_amor.pdf,COMPRA,05/06/2025,FG-25/2025,Hermanas del Amor de Dios Casa General,"NEW SATELITE, S.L.",R4900012H,No encontrado,FACTURA,"700,00",0.21,"847,00 €",No encontrado
251525_kiauto.pdf,COMPRA,05-06-2025,25.050.171,AUTOLUX RECAMBIOS S.L,"NEW SATELITE, S.L.",B02819530,No encontrado,Referencia,"54,32",0.21,"65,73 €",No encontrado
6150KYY(Factu) volkswagen renting.pdf,COMPRA,02/09/2024,2415352,"VOLKSWAGEN RENTING, S.A.","NEW SATELITE, S.L.",A80185051,SKODA FABIA,6150KYY,"6,859,50",0.21,"8,300,00",No encontrado
805323_pinchete.pdf,COMPRA,31/03/2025,FC I25 0100000370,RECAMBIOS PINCHETE S.L,"NEW SATELITE, S.L.",B86898384,No encontrado,NEWSATELITE,"262,71",0.21,"317,88 €",No encontrado
811974_pinchete.pdf,COMPRA,15/04/2025,FC I25 0100000402,RECAMBIOS PINCHETE S.L,"NEW SATELITE, S.L.",B86898384,No encontrado,NEWSATELITE,"266,39",0.21,"322,33 €",No encontrado
817222_pinchete.pdf,COMPRA,30/04/2025,FC I25 0100000474,RECAMBIOS PINCHETE S.L,"NEW SATELITE, S.L.",B86898384,No encontrado,NEWSATELITE,"133,28",0.21,"161,27 €",No encontrado
821996_pinchete.pdf,COMPRA,15/05/2025,FC I25 0100000519,RECAMBIOS PINCHETE S.L,"NEW SATELITE, S.L.",B86898384,No encontrado,NEWSATELITE,"326,41",0.21,"394,96 €",No encontrado
