Archivo;Tipo;Fecha;Número de Factura;Emisor;Cliente;CIF;Modelo;Matricula;Base;IVA;Importe;Tasas
2298746-T176427980-A215554124-VFT1602802193_OSCARO.pdf;COMPRA;24/06/2025;VFT1602802193;Oscaro Recambios S.L;No encontrado;B64314222;No encontrado;Factura;No encontrado;21%;No encontrado;No encontrado
2298746-T176427980-A215881804-VFT1602802132_OSCARO.pdf;COMPRA;24/06/2025;VFT1602802132;Oscaro Recambios S.L;No encontrado;B64314222;No encontrado;Factura;No encontrado;21%;No encontrado;No encontrado
ADEVINTA (1).pdf;COMPRA;No encontrada;8ES0077715;Adevinta Motor, S.L.U.;NEW SATELITE, S.L.;B-70677158;No encontrado;Factura;No encontrado;21%;No encontrado;No encontrado
ADEVINTA (2).pdf;COMPRA;No encontrada;8ES0090341;Adevinta Motor, S.L.U.;NEW SATELITE, S.L.;B-70677158;No encontrado;Factura;No encontrado;21%;No encontrado;No encontrado
ADEVINTA (3).pdf;COMPRA;No encontrada;8ES0066123;Adevinta Motor, S.L.U.;NEW SATELITE, S.L.;B-70677158;No encontrado;Factura;No encontrado;21%;No encontrado;No encontrado
AMAZON (1).pdf;COMPRA;25-06-2025;Direcci;AERZETIX EOOD (AMAZON);NEWSATELITE SL;ESN0681779E;No encontrado;Precio;No encontrado;21%;No encontrado;No encontrado
AMAZON (2).pdf;COMPRA;02-04-2025;Direcci;Amazon EU S.à r.l., Sucursal en España (AMAZON);NEWSATELITE SL;ESW0184081H;No encontrado;Registro;No encontrado;21%;No encontrado;No encontrado
AMAZON (3).pdf;COMPRA;14-05-2025;Direcci;AERZETIX EOOD (AMAZON);NEWSATELITE SL;ESN0681779E;No encontrado;Precio;No encontrado;21%;No encontrado;No encontrado
AMAZON (4).pdf;COMPRA;No encontrada;Factura;xinpushanghaiwangluokejiyouxiangongsi (AMAZON);NEWSATELITE SL;U20260743;No encontrado;Factura;No encontrado;21%;No encontrado;No encontrado
AMAZON (5).pdf;COMPRA;26-05-2025;Direcci;Amazon EU S.à r.l., Sucursal en España (AMAZON);NEWSATELITE SL;ESW0184081H;No encontrado;Registro;No encontrado;21%;No encontrado;No encontrado
AMAZON (6).pdf;COMPRA;29-05-2025;Direcci;AERZETIX EOOD (AMAZON);NEWSATELITE SL;ESN0681779E;No encontrado;Precio;No encontrado;21%;No encontrado;No encontrado
AMAZON (7).pdf;COMPRA;03-06-2025;Direcci;Amazon EU S.à r.l., Sucursal en España (AMAZON);NEWSATELITE SL;ESW0184081H;No encontrado;Registro;No encontrado;21%;No encontrado;No encontrado
